Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;N;Mean;Error;StdDev;Median
TestJoin;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;"1,194.3 ns";6.272 ns;5.560 ns;"1,193.5 ns"
TestStringBuilder;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;"1,853.8 ns";8.075 ns;7.159 ns;"1,853.5 ns"
TestConcat;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;100;726.8 ns;8.584 ns;8.030 ns;724.6 ns
TestJoin;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;500;"6,619.1 ns";62.648 ns;58.601 ns;"6,625.1 ns"
TestStringBuilder;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;500;"9,083.9 ns";163.526 ns;152.962 ns;"9,059.3 ns"
TestConcat;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;500;"4,022.5 ns";92.355 ns;264.984 ns;"3,927.9 ns"
TestJoin;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"15,701.2 ns";156.450 ns;138.689 ns;"15,665.8 ns"
TestStringBuilder;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"19,830.7 ns";214.075 ns;189.772 ns;"19,880.1 ns"
TestConcat;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;1000;"7,640.3 ns";89.604 ns;83.816 ns;"7,618.7 ns"
TestJoin;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"114,844.8 ns";588.460 ns;550.446 ns;"114,686.0 ns"
TestStringBuilder;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"151,723.1 ns";921.243 ns;861.731 ns;"151,585.8 ns"
TestConcat;InProcess;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;InProcessEmitToolchain;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;5000;"82,885.8 ns";560.850 ns;437.875 ns;"82,698.9 ns"
